KR,#genre#
Arirang,http://amdlive-ch01.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
Arirang HD,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
Arte HD,http://etomatomobile.hscdn.com/artemobile/livestream/playlist.m3u8
BBS Buddhist Broadcasting,http://bbstv.clouducs.com:1935/bbstv-live/livestream/playlist.m3u8
CBS,http://cbs-live.gscdn.com/cbs-live/cbs-live.stream/hasbahca.m3u8#http://cbs-live.gscdn.com/cbs-live/cbs-live.stream/playlist.m3u8#http://cbs-live.gscdn.com:1935/cbs-live/cbs-live.stream/playlist.m3u8
CGNTV,http://cgntv-glive.ofsdelivery.net/live/_definst_/cgntv_kr02/chunklist.m3u8
Edaily TV,http://edaily.flive.skcdn.com:1935/high/livestream/playlist.m3u8
ETN  SD,http://wma07.fluidstream.net:1935/TeleArena/livestream/playlist.m3u8
G1,http://smart.igtb.co.kr:1935/live/stream.sdp/playlist.m3u8
Gugbang TV,http://mediaworks.dema.mil.kr:1935/live_edge/cudo.sdp/playlist.m3u8
K+,http://210.210.155.35/uq2663/h/h08/index.m3u8
Korean Central Television,https://tv.nknews.org/tvhls/stream.m3u8
KTV,rtmp://218.38.152.31:1935/klive/klive.stream
Maeil Business Newspaper,rtmp://origin.flive.skcdn.com/mbn-auth1/1000k
MTN,http://183.110.27.87/mtnlive/_definst_/720/chunklist.m3u8#rtmp://mmoney.flive.skcdn.com/mmoneymobile/money3.stream
NBS Korea Agricultural Broadcasting,https://media.joycorp.co.kr:4443/live/live_720p/playlist.m3u8
OBS,http://live.obs.co.kr:1935/live/obs/myStream.sdp/playlist.m3u8
SBS International,https://streaming-a-802.cdn.nextologies.com/SBS_Live_HD/live/SBS_Live_HD_1500k/playlist.m3u8
SBS Plus,https://streaming-a-802.cdn.nextologies.com/SBS_Plus/live/SBS_Plus_1500k/playlist.m3u8
SBS Star,https://streaming-a-802.cdn.nextologies.com/SBS_18/playlist.m3u8
TBS,https://tbs.hscdn.com/tbstvweb/tbstv/playlist.m3u8
TVWorkNet,http://live.worktv.or.kr:1935/live/wowtvlive1.sdp/playlist.m3u8
YTN DMB,http://slive.ytn.co.kr:1935/dmb/ydlive_20140419_1/playlist.m3u8
YTN SCIENCE,http://slive.sciencetv.kr:1935/science/yslive_20140419_1/playlist.m3u8

KP,#genre#
Korean Central Television (KCTV),https://tv.nknews.org/tvhls/stream.m3u8

其他类别,#genre#
Arirang,http://amdlive-ch01.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
Arirang HD,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
Arte HD,http://etomatomobile.hscdn.com/artemobile/livestream/playlist.m3u8
BBS Buddhist Broadcasting,http://bbstv.clouducs.com:1935/bbstv-live/livestream/playlist.m3u8
CBS,http://cbs-live.gscdn.com/cbs-live/cbs-live.stream/hasbahca.m3u8#http://cbs-live.gscdn.com/cbs-live/cbs-live.stream/playlist.m3u8#http://cbs-live.gscdn.com:1935/cbs-live/cbs-live.stream/playlist.m3u8
Edaily TV,http://edaily.flive.skcdn.com:1935/high/livestream/playlist.m3u8
ETN  SD,http://wma07.fluidstream.net:1935/TeleArena/livestream/playlist.m3u8
G1,http://smart.igtb.co.kr:1935/live/stream.sdp/playlist.m3u8
Gugbang TV,http://mediaworks.dema.mil.kr:1935/live_edge/cudo.sdp/playlist.m3u8
K+,http://210.210.155.35/uq2663/h/h08/index.m3u8
Korean Central Television,https://tv.nknews.org/tvhls/stream.m3u8
Korean Central Television (KCTV),https://tv.nknews.org/tvhls/stream.m3u8
KTV,rtmp://218.38.152.31:1935/klive/klive.stream
Maeil Business Newspaper,rtmp://origin.flive.skcdn.com/mbn-auth1/1000k
MTN,http://183.110.27.87/mtnlive/_definst_/720/chunklist.m3u8#rtmp://mmoney.flive.skcdn.com/mmoneymobile/money3.stream
NBS Korea Agricultural Broadcasting,https://media.joycorp.co.kr:4443/live/live_720p/playlist.m3u8
OBS,http://live.obs.co.kr:1935/live/obs/myStream.sdp/playlist.m3u8
SBS International,https://streaming-a-802.cdn.nextologies.com/SBS_Live_HD/live/SBS_Live_HD_1500k/playlist.m3u8
SBS Plus,https://streaming-a-802.cdn.nextologies.com/SBS_Plus/live/SBS_Plus_1500k/playlist.m3u8
SBS Star,https://streaming-a-802.cdn.nextologies.com/SBS_18/playlist.m3u8
TBS,https://tbs.hscdn.com/tbstvweb/tbstv/playlist.m3u8
TVWorkNet,http://live.worktv.or.kr:1935/live/wowtvlive1.sdp/playlist.m3u8
YTN DMB,http://slive.ytn.co.kr:1935/dmb/ydlive_20140419_1/playlist.m3u8
YTN SCIENCE,http://slive.sciencetv.kr:1935/science/yslive_20140419_1/playlist.m3u8

宗教,#genre#
CGNTV,http://cgntv-glive.ofsdelivery.net/live/_definst_/cgntv_kr02/chunklist.m3u8

